Name,Component,Pin
VCC,U1,5
VCC,J1,2
VCC,LED1,2
VCC,R4,1
VCC,C1,1
VCC,J2,1
VCC,R2,1
PB1,J2,3
PB1,U1,3
PB1,J1,3
PB0,J2,2
PB0,U1,1
PB0,J1,1
PB3,J1,5
PB3,U1,6
PB3,R4,2
PB3,SW1,1
PB2,U1,4
PB2,LED3,2
PB2,J2,4
PB2,LED2,1
(LED1 - 1) (R1 - 1),LED1,1
(LED1 - 1) (R1 - 1),R1,1
GND,R1,2
GND,J2,6
GND,R3,2
GND,C1,2
GND,U1,2
GND,SW1,2
GND,J1,6
(LED2 - 2) (R2 - 2),LED2,2
(LED2 - 2) (R2 - 2),R2,2
(LED3 - 1) (R3 - 1),R3,1
(LED3 - 1) (R3 - 1),LED3,1
